Event_Number,Event_Date,Event_Return,Entry_Date,Entry_Price,Holding_Period,Exit_Date,Exit_Price,Forward_Return
123,2013-08-16,-0.04082853821736476,2013-08-19,5497.5498046875,3,2013-08-21,5302.5498046875,-0.03547034714150887
123,2013-08-16,-0.04082853821736476,2013-08-19,5497.5498046875,5,2013-08-23,5471.75,-0.0046929642484551115
124,2013-08-27,-0.03452018710627225,2013-08-28,5233.4501953125,1,2013-08-28,5285.0,0.00985006119551346
124,2013-08-27,-0.03452018710627225,2013-08-28,5233.4501953125,3,2013-08-30,5471.7998046875,0.04554349434498972
124,2013-08-27,-0.03452018710627225,2013-08-28,5233.4501953125,5,2013-09-03,5341.4501953125,0.0206364818560294
125,2013-09-03,-0.03770658103634639,2013-09-04,5358.64990234375,1,2013-09-04,5448.10009765625,0.016692673890372323
125,2013-09-03,-0.03770658103634639,2013-09-04,5358.64990234375,3,2013-09-06,5680.39990234375,0.06004310896654652
125,2013-09-03,-0.03770658103634639,2013-09-04,5358.64990234375,5,2013-09-11,5913.14990234375,0.10347755686697768
126,2013-09-23,-0.020350642149811637,2013-09-24,5855.0,1,2013-09-24,5892.4501953125,0.006396275885994784
126,2013-09-23,-0.020350642149811637,2013-09-24,5855.0,3,2013-09-26,5882.25,0.004654141759180108
126,2013-09-23,-0.020350642149811637,2013-09-24,5855.0,5,2013-09-30,5735.2998046875,-0.020444098260034127
127,2013-11-21,-0.020227359524339406,2013-11-22,6027.35009765625,1,2013-11-22,5995.4501953125,-0.005292525210399579
127,2013-11-21,-0.020227359524339406,2013-11-22,6027.35009765625,3,2013-11-26,6059.10009765625,0.00526765485421965
127,2013-11-21,-0.020227359524339406,2013-11-22,6027.35009765625,5,2013-11-28,6091.85009765625,0.01070122009754848
128,2014-01-27,-0.020888004522878645,2014-01-28,6131.85009765625,1,2014-01-28,6126.25,-0.0009132802607797474
128,2014-01-27,-0.020888004522878645,2014-01-28,6131.85009765625,3,2014-01-30,6073.7001953125,-0.009483255692433912
128,2014-01-27,-0.020888004522878645,2014-01-28,6131.85009765625,5,2014-02-03,6001.7998046875,-0.021208981122754267
129,2014-07-08,-0.021053878387766067,2014-07-09,7637.9501953125,1,2014-07-09,7585.0,-0.006932513823538211
